Feature,Importance
STDs:syphilis,0.7916589743236715
Dx:CIN,0.36755753915264744
STDs:HPV,0.34663456255551434
STDs:vaginal condylomatosis,0.2816340177385566
Dx:HPV,0.2642229525481493
Dx:Cancer,0.24559871316066728
Num of pregnancies,0.2409125936379023
Hormonal Contraceptives (years),0.23646869441235752
STDs:HIV,0.23105484102084256
STDs:vulvo-perineal condylomatosis,0.20949382827591898
STDs: Number of diagnosis,0.2037691810651133
STDs:Hepatitis B,0.20119800997157258
STDs:condylomatosis,0.17922655980369065
STDs:molluscum contagiosum,0.17470227404315183
Hormonal Contraceptives,0.16793969194867708
Dx,0.15663389295236005
Smokes (years),0.14615809459024331
STDs:pelvic inflammatory disease,0.14415045501030563
IUD,0.14228510297054664
STDs (number),0.09175174449389253
Smokes,0.06517381998242644
STDs,0.06314890400947862
Number of sexual partners,0.04449081502292302
First sexual intercourse,0.04158825611949285
Smokes (packs/year),0.027627190894477436
Age,0.02021292694467245
IUD (years),0.01754772720872753
STDs:cervical condylomatosis,0.0
STDs:genital herpes,0.0
STDs:AIDS,0.0
