Model,Threshold,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.3,0.2558,0.0667,0.8182,0.1233
Logistic Regression,0.35,0.5116,0.0706,0.5455,0.125
Logistic Regression,0.4,0.6744,0.0909,0.4545,0.1515
Logistic Regression,0.45,0.7674,0.1081,0.3636,0.1667
Logistic Regression,0.5,0.8023,0.1034,0.2727,0.15
Logistic Regression,0.55,0.8372,0.1304,0.2727,0.1765
Random Forest,0.3,0.7151,0.087,0.3636,0.1404
Random Forest,0.35,0.843,0.1,0.1818,0.129
Random Forest,0.4,0.8721,0.0,0.0,0.0
Random Forest,0.45,0.9128,0.0,0.0,0.0
Random Forest,0.5,0.9244,0.0,0.0,0.0
Random Forest,0.55,0.9302,0.0,0.0,0.0
Extra Trees,0.3,0.1105,0.0671,1.0,0.1257
Extra Trees,0.35,0.3895,0.0727,0.7273,0.1322
Extra Trees,0.4,0.8023,0.1034,0.2727,0.15
Extra Trees,0.45,0.8488,0.0588,0.0909,0.0714
Extra Trees,0.5,0.8663,0.0714,0.0909,0.08
Extra Trees,0.55,0.8721,0.0769,0.0909,0.0833
Support Vector Machine,0.3,0.9302,0.0,0.0,0.0
Support Vector Machine,0.35,0.9302,0.0,0.0,0.0
Support Vector Machine,0.4,0.936,0.0,0.0,0.0
Support Vector Machine,0.45,0.936,0.0,0.0,0.0
Support Vector Machine,0.5,0.936,0.0,0.0,0.0
Support Vector Machine,0.55,0.936,0.0,0.0,0.0
Gradient Boosting,0.3,0.9128,0.0,0.0,0.0
Gradient Boosting,0.35,0.9186,0.0,0.0,0.0
Gradient Boosting,0.4,0.936,0.0,0.0,0.0
Gradient Boosting,0.45,0.936,0.0,0.0,0.0
Gradient Boosting,0.5,0.936,0.0,0.0,0.0
Gradient Boosting,0.55,0.936,0.0,0.0,0.0
